sample_name	target	off_target	off_target_cosine	off_target_rank	source
dec_BTK_0081	BTK	BMX	0.2989	5	exact
dec_BTK_0081	BTK	TEC	0.2824	19	exact
dec_BTK_0081	BTK	ERBB2	0.1658		exact
dec_BTK_0081	BTK	ERBB4	0.1737		exact
dec_BTK_0084	BTK	CSK	0.1815	54	exact
dec_BTK_0084	BTK	ITK	0.2019	50	exact
dec_BTK_0084	BTK	EGFR	0.1578		exact
dec_BTK_0084	BTK	BMX	0.2541	47	exact
dec_BTK_0084	BTK	TEC	0.2237	48	exact
dec_BTK_0084	BTK	ERBB2	0.1616		exact
dec_BTK_0084	BTK	ERBB4	0.1532		exact
dec_BTK_0085	BTK	CSK	0.1607		exact
dec_BTK_0085	BTK	ITK	0.2422	50	exact
dec_BTK_0085	BTK	EGFR	0.0936		exact
dec_BTK_0085	BTK	BMX	0.2958	5	exact
dec_BTK_0085	BTK	TEC	0.2736	7	exact
dec_BTK_0085	BTK	ERBB2	0.1189		exact
dec_BTK_0085	BTK	ERBB4	0.0988		exact
dec_BTK_0086	BTK	CSK	0.1201		exact
dec_BTK_0086	BTK	ITK	0.2429	41	exact
dec_BTK_0086	BTK	EGFR	0.0783		exact
dec_BTK_0086	BTK	BMX	0.2565	40	exact
dec_BTK_0086	BTK	TEC	0.2247	49	exact
dec_BTK_0086	BTK	ERBB2	0.0980		exact
dec_BTK_0086	BTK	ERBB4	0.0892		exact
dec_BTK_0087	BTK	CSK	0.1680		exact
dec_BTK_0087	BTK	ITK	0.2198	52	exact
dec_BTK_0087	BTK	EGFR	0.1089		exact
dec_BTK_0087	BTK	BMX	0.2549	45	exact
dec_BTK_0087	BTK	TEC	0.2330	46	exact
dec_BTK_0087	BTK	ERBB2	0.1232		exact
dec_BTK_0087	BTK	ERBB4	0.1199		exact
dec_BTK_0088	BTK	CSK	0.1761		exact
dec_BTK_0088	BTK	ITK	0.1983	50	exact
dec_BTK_0088	BTK	EGFR	0.0797		exact
dec_BTK_0088	BTK	BMX	0.2849	33	exact
dec_BTK_0088	BTK	TEC	0.2286	48	exact
dec_BTK_0088	BTK	ERBB2	0.0926		exact
dec_BTK_0088	BTK	ERBB4	0.0643		exact
dec_BTK_0089	BTK	CSK	0.1969		exact
dec_BTK_0089	BTK	ITK	0.2687	7	exact
dec_BTK_0089	BTK	EGFR	0.1541		exact
dec_BTK_0089	BTK	BMX	0.2814	8	exact
dec_BTK_0089	BTK	TEC	0.2272	65	exact
dec_BTK_0089	BTK	ERBB2	0.1528		exact
dec_BTK_0089	BTK	ERBB4	0.1557		exact
dec_BTK_0091	BTK	CSK	0.1396		exact
dec_BTK_0091	BTK	ITK	0.2648	7	exact
dec_BTK_0091	BTK	EGFR	0.1123		exact
dec_BTK_0091	BTK	BMX	0.2692	29	exact
dec_BTK_0091	BTK	TEC	0.2732	4	exact
dec_BTK_0091	BTK	ERBB2	0.1430		exact
dec_BTK_0091	BTK	ERBB4	0.1246		exact
dec_BTK_0093	BTK	CSK	0.1467		exact
dec_BTK_0093	BTK	ITK	0.2464	44	exact
dec_BTK_0093	BTK	EGFR	0.0700		exact
dec_BTK_0093	BTK	BMX	0.2811	5	exact
dec_BTK_0093	BTK	TEC	0.2720	6	exact
dec_BTK_0093	BTK	ERBB2	0.0777		exact
dec_BTK_0093	BTK	ERBB4	0.0653		exact
dec_BTK_0095	BTK	CSK	0.1217		exact
