sample_name	target	off_target	off_target_pidx	cosine
dec_ALK_0029	ALK	NTRK3	22412	0.1831
dec_ALK_0029	ALK	ROS1	9115	0.0691
dec_ALK_0030	ALK	NTRK1	20132	0.1360
dec_ALK_0030	ALK	NTRK2	22429	0.1098
dec_ALK_0030	ALK	NTRK3	22412	0.1381
dec_ALK_0030	ALK	ROS1	9115	0.0795
dec_ALK_0031	ALK	NTRK1	20132	0.1254
dec_ALK_0031	ALK	NTRK2	22429	0.0834
dec_ALK_0031	ALK	NTRK3	22412	0.1449
dec_ALK_0031	ALK	ROS1	9115	0.0919
dec_ALK_0032	ALK	NTRK1	20132	0.1429
dec_ALK_0032	ALK	NTRK2	22429	0.1103
dec_ALK_0032	ALK	NTRK3	22412	0.1696
dec_ALK_0032	ALK	ROS1	9115	0.1133
dec_ALK_0033	ALK	NTRK1	20132	0.0513
dec_ALK_0033	ALK	NTRK2	22429	0.0691
dec_ALK_0033	ALK	NTRK3	22412	0.0983
dec_ALK_0033	ALK	ROS1	9115	0.0945
dec_ALK_0034	ALK	NTRK1	20132	0.0286
dec_ALK_0034	ALK	NTRK2	22429	0.0474
dec_ALK_0034	ALK	NTRK3	22412	0.0630
dec_ALK_0034	ALK	ROS1	9115	0.0733
dec_ALK_0035	ALK	NTRK1	20132	0.1585
dec_ALK_0035	ALK	NTRK2	22429	0.1132
dec_ALK_0035	ALK	NTRK3	22412	0.1465
dec_ALK_0035	ALK	ROS1	9115	0.1487
dec_ALK_0036	ALK	NTRK1	20132	-0.0253
dec_ALK_0036	ALK	NTRK2	22429	0.0071
dec_ALK_0036	ALK	NTRK3	22412	0.0297
dec_ALK_0036	ALK	ROS1	9115	0.0755
dec_ALK_0037	ALK	NTRK1	20132	0.0311
dec_ALK_0037	ALK	NTRK2	22429	0.0508
dec_ALK_0037	ALK	NTRK3	22412	0.0700
dec_ALK_0037	ALK	ROS1	9115	0.0723
dec_ALK_0038	ALK	NTRK1	20132	0.1504
dec_ALK_0038	ALK	NTRK2	22429	0.1343
dec_ALK_0038	ALK	NTRK3	22412	0.1750
dec_ALK_0038	ALK	ROS1	9115	0.0754
dec_ALK_0039	ALK	NTRK1	20132	0.1065
dec_ALK_0039	ALK	NTRK2	22429	0.0853
