target	n_candidates	n_STRONG	n_MODERATE	n_WEAK	n_OFF_TARGET_RISK	best_candidate	best_iptm_margin	best_pae_margin	best_verdict	best_worst_offtarget
ALK	5	2	2	1	0	dec_ALK_0044	0.15	5.05	STRONG	ROS1
CDK4	5	0	0	0	5	dec_CDK4_0167	-0.01	0.09	OFF-TARGET RISK	CDK1
CDK6	5	0	0	0	5	dec_CDK6_0243	0.01	0.1	OFF-TARGET RISK	CDK2
F11	5	0	0	5	0	dec_F11_0387	0.0	1.32	WEAK	KLKB1
FLT3	5	5	0	0	0	dec_FLT3_0469	0.0	11.75	STRONG	PDGFRA
MAP2K1	5	2	3	0	0	dec_MAP2K1_0830	0.09	4.53	STRONG	TGFBR1
MAP2K2	5	3	0	0	2	dec_MAP2K2_0878	0.1	4.64	STRONG	TGFBR1
PARP1	5	0	0	1	4	dec_PARP1_1017	0.03	0.94	WEAK	TNKS2
