drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
273398	0.36637104	41	O=c1[nH]cc(-c2cc(N3CC(F)C4(CC4)C3)c3nccn3n2)c(=O)[nH]1	A			
272736	0.36579642	42	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N(C)C4CC(O)C4)nc(Cl)nc32)[C@@H]1O	A			
273412	0.3646539	43	O=c1[nH]cc(-c2cc(N3CC(c4ccccc4)C3)c3nccn3n2)c(=O)[nH]1	A			
273674	0.36442843	44	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3ccncc3)c3ncc(F)n3n2)c(=O)[nH]1	A			
273315	0.36434186	45	O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N4CC5(CCCc6ccccc65)C4)nc(Cl)nc32)[C@@H](O)C1O	A			
272850	0.36392912	46	COC(=O)c1cccc(C2CN(c3cc(-c4c[nH]c(=O)[nH]c4=O)nn4ccnc34)C2)c1	A			
272674	0.36351162	47	C#C[C@@]1(O)[C@@H](COC(C(=O)OCC)P(=O)(O)O)O[C@@H](n2cnc3c(N4CCOCC4)nc(Cl)nc32)[C@@H]1O	A			
273434	0.3634261	48	O=c1[nH]cc(-c2cc(N3CCC(F)(F)C3)c3ncc(F)n3n2)c(=O)[nH]1	A			
272305	0.36336428	49	C#C[C@@]1(O)[C@@H](CO[C@@](Cc2ccccc2)(C(=O)O)c2cscn2)O[C@@H](n2cnc3c(NC(C)C)nc(Cl)nc32)[C@@H]1O	A			
273668	0.36320114	50	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3cccnc3)c3ncc(F)n3n2)c(=O)[nH]1	A			
273420	0.3631476	51	O=c1[nH]cc(-c2cc(N3CC4CC4(F)C3)c3nccn3n2)c(=O)[nH]1	A			
273445	0.36310408	52	O=c1[nH]cc(-c2cc(N3CCC4(C3)CC4(F)F)c3nccn3n2)c(=O)[nH]1	A			
273414	0.3629876	53	O=c1[nH]cc(-c2cc(N3CC4(C3)CC4(F)F)c3nccn3n2)c(=O)[nH]1	A			
272341	0.36272645	54	CC(C)(O)[C@H]1C[C@@H]1c1cc(-c2c[nH]c(=O)[nH]c2=O)nn2ccnc12	A			
273426	0.36249542	55	O=c1[nH]cc(-c2cc(N3CCC(C(F)(F)F)(C(F)(F)F)C3)c3nccn3n2)c(=O)[nH]1	A			
272314	0.36236215	56	C#C[C@@]1(O)[C@@H](CO[C@](Cc2ccccc2)(C(=O)O)c2cscn2)O[C@@H](n2cnc3c(NC(C)C)nc(Cl)nc32)[C@@H]1O	A			
273382	0.36220866	57	O=c1[nH]cc(-c2cc(N3CC(F)(F)C(F)(F)C3)c3ncc(F)n3n2)c(=O)[nH]1	A			
272424	0.36142683	58	CC1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nc3ccnn23)CC1(F)F	A			
