drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
520659	0.31441545	25	Nc1nc2c(ncn2[C@H]2O[C@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521141	0.3141978	26	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](Nc5ncnc6ccnn56)C[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521147	0.31341067	27	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2C3)c(=O)[nH]1	A			
68845	0.3126081	28	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(=O)[nH]c(N)nc65)O[C@@H]4COP(=O)(O)O[C@H]3[C@H]2O)c(=O)[nH]1	B			
520627	0.31205785	29	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(S)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
7644	0.31054696	30	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4CO[P@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	A			
520635	0.31005362	31	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[P@@](=O)(S)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521164	0.30926272	32	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H]5OC[C@]4(COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@H]5n2cnc3c(N)ncnc32)c(=O)[nH]1	A			
521163	0.30871746	33	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H]5OC[C@]4(COP(=O)(O)O[C@@H]2[C@@H]3F)O[C@H]5n2cnc3c(N)ncnc32)c(=O)[nH]1	A			
520637	0.30818146	34	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[P@@](=O)(S)O[C@@H]2C3)c(=O)[nH]1	A			
520665	0.30785	35	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNS(=O)(=O)O[C@H]3[C@@H](F)[C@H](n4cnc5c(=O)[nH]cnc54)O[C@@H]3CNP(=O)(O)O[C@H]2[C@H]1F	A			
7716	0.30718866	36	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@](=O)([O-])O[C@H]4[C@@H](O)[C@H](n5cnc6c(=O)[nH]c(N)nc65)O[C@@H]4CO[P@](=O)([O-])O[C@H]3[C@H]2O)c(=O)[nH]1	B			
520638	0.30593988	37	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[P@@](=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
520615	0.30587912	38	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2C3(F)F)c(=O)[nH]1	A			
5056	0.30493084	39	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4CO[P@@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	A			
510026	0.30370703	40	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5c(=O)[nH]cnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521120	0.30298984	41	Nc1nc2c(ncn2C2OC3COP(=O)(O)NC4CC(n5cnc6c(N)ncnc65)OC4COP(=O)(O)OC2C3O)c(=O)[nH]1	A			
521162	0.30210495	42	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H]5OC[C@]4(COP(=O)(O)O[C@@H]2C3)O[C@H]5n2cnc3c(N)ncnc32)c(=O)[nH]1	A			
510027	0.3019749	43	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5c(=O)[nH]cnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
510040	0.3018374	44	Nc1nc2ncn([C@@H]3O[C@@H]4COP(=O)(S)OCCn5c(nc6cc(Cl)cnc65)COP(=O)(S)O[C@@H]3[C@@H]4F)c2c(=O)[nH]1	A			
5014	0.30153084	45	CO[C@@H]1[C@@H]2O[P@](=O)([O-])O[NH2+]OCCCCCCO[P@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)[C@H](OC)[C@@H]3O[P@](=O)([O-])OC[C@H]3C[N@@H+](Cc4c[nH]c5c(N)ncnc45)C[C@@H]3O[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)[C@H](OC)[C@@H]3O[P@@](=O)([O-])OC[C@H]2O[C@H]1n1cnc2c(N)ncnc21	B			
520649	0.3009723	46	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5c(=O)[nH]cnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
521131	0.30094644	47	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)OCCCn4c(nc5cncnc54)COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521133	0.30075076	48	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)OCCn4c(nc5cncnc54)COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
520633	0.30073464	49	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@H]4C[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[P@@](=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521135	0.300721	50	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
520664	0.30056673	51	Nc1nc2ncn([C@H]3O[C@@H]4COP(=O)(S)OCCn5c(nc6cc(Cl)cnc65)COP(=O)(S)O[C@@H]3[C@@H]4F)c2c(=O)[nH]1	A			
510033	0.29991147	52	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(O)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
521132	0.2995086	53	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)OCCn4c(nc5cncnc54)COP(=O)(O)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
520650	0.29859102	54	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5c(N)ncnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
5425	0.29833087	55	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4CO[P@@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	B			
3613	0.2983043	56	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@H]4CO[P@@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	B			
520619	0.29773232	57	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@H]4C[C@H](Nc5cc(=O)[nH]cn5)C[C@@H]4COP(=O)(S)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
520613	0.29757118	58	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(O)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
520677	0.29698962	59	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]3[C@@H](F)[C@H](n4cnc5c(=O)[nH]cnc54)O[C@@H]3CNS(=O)(=O)O[C@H]2[C@H]1F	A			
521167	0.2969327	60	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5c(N)ncnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
520651	0.2968255	61	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5c(N)ncnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
510036	0.29671714	62	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cnc(C6CC6)nc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
520652	0.29653162	63	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cc(Cl)cnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521169	0.29623926	64	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cnc(C6CC6)nc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521136	0.2961992	65	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3CO)C[C@@H](n2ccc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1	A			
520688	0.2961717	66	Nc1ncnc2c1ncn2[C@H]1C[C@@H]2NS(=O)(=O)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]cnc54)[C@H](F)[C@@H]3OP(=O)(O)OC[C@H]2O1	A			
520653	0.29591122	67	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cnccc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
521124	0.2951918	68	Nc1nc2c(ncn2C2OC3COP(=O)(O)OC4C5OCC4(COP(=O)(O)OC2C3O)OC5n2cnc3c(N)ncnc32)c(=O)[nH]1	A			
520674	0.29513636	69	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNS(=O)(=O)O[C@H]3[C@H]4OO[C@]3(COP(=O)(O)O[C@H]2[C@H]1F)O[C@H]4n1cnc2c(N)ncnc21	A			
