drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
190908	0.2950612	151	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccccn1	B			
20184	0.29436657	152	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2	B			
20175	0.2928416	153	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C(F)(F)F)C2	B			
39850	0.29254204	154	O=c1[nH]c(N2C[C@@H]3C[C@H]2CO3)nc2nn(-c3ccc(C4CC4)cc3C(F)(F)F)cc12	A			
39846	0.29242355	155	O=c1[nH]c(N2CCOCC2)nc2nn(-c3ccc(Cl)cc3C(F)(F)F)cc12	A			
39599	0.29233187	156	Cc1nn(C2CCCC2)c(C)c1-n1cc2c(=O)[nH]c(N3CCCC3)nc2n1	A			
20204	0.29217285	157	CCCNS(=O)(=O)c1ccc2c(c1)C[C@H](N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2	B			
39745	0.2921563	158	CC(C)c1nn(CC(=O)Nc2ncncc2F)c(=O)c2ccc(C(F)(F)F)cc12	A			
39742	0.29129782	159	CC(C)c1nn(CC(=O)N[C@H]2C[C@@](C)(O)C2)c(=O)c2cc3ccsc3n12	A			
190901	0.29111946	160	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccc(Cl)cc1	B			
39725	0.29021117	161	CC(C)c1cc(C#N)cc(C(C)C)c1NC(=O)NS(=N)(=O)c1sc(C(C)(C)O)nc1CO	A			
39705	0.28997818	162	CC(C)(O)c1ncc(S(N)(=O)=NC(=O)Nc2c3c(cc4c2C(O)CC4)CCC3)s1	A			
19893	0.2890569	163	C#CCN(C)S(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1	B			
39536	0.28881297	164	Cc1ccc(C(C)C)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCOC(COC(F)F)CC2)co1	A			
20209	0.28794962	165	CCOC(=O)CSc1ccc(C(=O)/C=C/c2cc(C)c(O)c(C)c2)cc1	B			
39585	0.2873542	166	Cc1ccccc1-n1cc2c(=O)[nH]c(NCC(C)C)nc2n1	A			
190907	0.2871935	167	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccccc1	B			
20239	0.28663033	168	CSc1ccc(C(=O)/C=C/c2ccc(O)c(C)c2)cc1	B			
39604	0.2863032	169	Cn1ccc(Cc2cc(=O)n3nc(Nc4c5c(cc6c4CCC6)CCC5)nc3[nH]2)n1	A			
39821	0.28620437	170	O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)/C=C/c1nccs1	A			
19911	0.28591514	171	C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2ccc([N+](=O)[O-])cc2)cc1	B			
20249	0.2855769	172	Cc1cc(/C=C/C(=O)c2ccc([S+](C)[O-])cc2)cc(C)c1O	B			
39561	0.2852028	173	Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2C[C@H]3COC[C@@H]3C2)co1	A			
20203	0.28507388	174	CCCNS(=O)(=O)c1ccc2c(c1)C[C@@H](N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2	B			
39765	0.28438702	175	CCC(C)n1nc(C)c(-n2cc3c(=O)[nH]c(N4CCCC4)nc3n2)c1C	A			
20182	0.2842723	176	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3cc(F)ccc3o1)C2	B			
39755	0.2840096	177	CC(C)c1nn(Cc2nnc(-c3cncc(C(F)(F)F)c3)o2)c(=O)c2cc3sc(Cl)cc3n12	A			
190909	0.28393131	178	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1cccnc1	B			
39822	0.28381157	179	O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(NC2CC(F)(F)C2)c2nonc12	A			
39589	0.283616	180	Cc1cn(CC(F)(F)F)nc1Nc1nc(C(=O)NS(=O)(=O)N2CCCOCC2)co1	A			
19921	0.28289372	181	C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2nc[nH]n2)cc1	B			
39709	0.282783	182	CC(C)Oc1cc(Br)ccc1-n1cc2c(=O)[nH]c(N3CCOCC3)nc2n1	A			
190889	0.2824939	183	CC(C)(O)c1cncc(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1	B			
39452	0.2823931	184	CONc1nc2nn(-c3c(C)cc(Br)cc3C)cc2c(=O)[nH]1	A			
39704	0.2820577	185	CC(C)(O)c1ncc(S(N)(=O)=NC(=O)Nc2c3c(cc4c2C(=O)CC4)CCC3)s1	A			
19912	0.28183502	186	C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2ccoc2)cc1	B			
20193	0.28127176	187	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccccc1OC(C)=O)C2	B			
