source	class_strict	stratum	n	pearson_raw	spearman_raw	rmse_raw	ci_raw	mean_err_raw	pearson_recal	spearman_recal	rmse_recal	ci_recal	mean_err_recal
klaeger	A	TIGHT	153	0.0465784988377734	0.06752530158057969	1.0553114515179876	0.5232771421084811	-0.6342157006436194	0.04657849883777338	0.06752530158057969	0.7727581403335114	0.5232771421084811	-0.30352542437481717
klaeger	A	MODERATE	201	0.04378482511953525	0.04119787645172364	1.082467206084741	0.5124440019910403	0.7528622713473674	0.043784825119535305	0.04119787645172364	1.333986369032272	0.5124440019910403	1.1868828487645329
klaeger	A	WEAK	7	0.32230944759501867	0.21428571428571433	1.8989667036489526	0.5714285714285714	1.8090912926922	0.3223094475950193	0.21428571428571433	2.430498474135394	0.5714285714285714	2.4026844787192063
klaeger	A	ALL	361	0.22652950938681113	0.22704502664231604	1.09285604279388	0.5766850334151348	0.18546801493405116	0.22652950938681107	0.22704502664231604	1.1655244357901884	0.5766850334151348	0.5787890693167826
klaeger	B	TIGHT	140	0.06609492178657296	0.0377991592011941	1.167889985866364	0.5115769712140176	-0.8138376969399299	0.06609492178657289	0.0377991592011941	0.7699366647485367	0.5115769712140176	-0.3871321308869523
klaeger	B	MODERATE	609	0.0810313405041837	0.07116669527659726	1.244896438280924	0.5244156770366208	0.9318932830268158	0.08103134050418367	0.07116669527659726	1.5096964413000213	0.5244156770366208	1.3771571260847397
klaeger	B	WEAK	40	-0.18984304251771011	-0.08292682926829269	2.2818444342564184	0.4653846153846154	2.1364848183274883	-0.18984304251771011	-0.08292682926829269	2.671278410660977	0.4653846153846154	2.615136743500566
klaeger	B	ALL	789	0.06830202712115384	0.06999508137097989	1.3046840315315027	0.5236196141292803	0.6832004113115845	0.06830202712115381	0.06999508137097989	1.4920338261591886	0.5236196141292803	1.1268639558953812
klaeger	B_combo	TIGHT	576	-0.08965285144706943	-0.03819503198850903	1.3343513562294327	0.48793501632555547	-0.934098577602599	-0.0896528514470695	-0.03819503198850903	0.8684585373396168	0.48793501632555547	-0.4499578359554513
klaeger	B_combo	MODERATE	2448	0.03624878552980743	0.034000902731327685	1.1512389892054171	0.5113522540350526	0.7599768368248928	0.03624878552980744	0.034000902731327685	1.4108176541200503	0.5113522540350526	1.250568029665656
klaeger	B_combo	WEAK	171	0.09644598738218624	0.1835169318645451	2.387039907311817	0.5611283109735122	2.1864051380984777	0.09644598738218639	0.1835169318645451	2.794852661843449	0.5611283109735122	2.671771454240594
klaeger	B_combo	ALL	3195	0.013877686233142561	0.0318612998161487	1.2811838129770265	0.5106766950323426	0.5309101078131706	0.013877686233142538	0.0318612998161487	1.4419015971971993	0.5106766950323426	1.0200587611224812
davis	A	TIGHT	140	0.25125055812051805	0.25630192427782156	1.415377581365012	0.5854414042333506	-1.1724511820914494	0.2512505581205177	0.25630192427782156	1.0540688287753932	0.5854414042333506	-0.7616773930391415
davis	A	MODERATE	100	-0.025853251537685487	-0.0473049622759624	1.1311093400438164	0.48043212392988177	0.8005470219485629	-0.02585325153768554	-0.0473049622759624	1.4344792479040134	0.48043212392988177	1.2672014244719318
davis	A	ALL	240	0.19393922248804746	0.20848412829721363	1.3044825787927847	0.5696897625126788	-0.3503685970747776	0.19393922248804737	0.20848412829721363	1.2269909410799733	0.5696897625126788	0.08368878092380565
davis	B	TIGHT	542	0.13875331415322437	0.14096210466548512	1.4509757207470475	0.5472988296417453	-1.207000446658762	0.1387533141532243	0.14096210466548512	0.914770245271088	0.5472988296417453	-0.6190415578387172
davis	B	MODERATE	1783	0.034239813448314615	0.021076874257866876	0.8980666961214739	0.5070258883290653	0.3697642642669367	0.03423981344831456	0.021076874257866876	1.1899458305289656	0.5070258883290653	1.0031323765575022
davis	B	ALL	2325	0.09844800466161734	0.07130600458298265	1.0532328261545252	0.5240693982585283	0.0021915875694190202	0.09844800466161728	0.07130600458298265	1.1317936148727354	0.5240693982585283	0.624973979807932
davis	B_drug_seen_only	TIGHT	343	0.0440053950996509	0.08111568855264313	1.563867758931362	0.5261452475654917	-1.2510384358728213	0.044005395099650846	0.08111568855264313	1.1143392610024905	0.5261452475654917	-0.7387690690581983
